CODE	NAME	COUNT	SOURCE
32213238	Etelä-Pohjanmaa	329410	MANUAL
2057174	Nokian_kaupunki	324946	PTV
32213158	Etelä-Savo	307978	MANUAL
2164623	Keski-Pohjanmaa	297345	MANUAL
1734161	Keski-Savon_työllisyysalue	292092	PTV
2044285	Raision_kaupunki	267557	PTV
32213174	Pohjois-Karjala	251331	MANUAL
22810709	Yhtyneet_Medix_Laboratoriot_Oy	251293	MANUAL
1332269	Kaarinan_kaupunki	248844	PTV
1373239	Porin_kaupunki	243736	PTV
1756221	Jämsän_kaupunki_/_Sosiaali-_ja_terveystoimi	237188	PTV
28449694	Keski-Uusimaa	228322	MANUAL
2142950	FSHKY	201182	MANUAL
1813679	Närpiön_kaupunki	196586	PTV
1811016	Mustasaaren_kunta	186203	PTV
32213393	Itä-Uusimaa	185468	MANUAL
23388722	Perusturvakuntayhtymä_Akseli	184480	MANUAL
8196167	Korvaushoitoklinikka,_Rovaniemen_kaupunki,_Perusturvapalv	173327	MANUAL
1469214	Hämeenlinnan_kaupunki	170170	PTV
1809485	Maalahden_kunta	166377	PTV
1346986	Liedon_kaupunki	165589	PTV
19287363	Etelä-Pohjanmaan_pelastuslaitos	163431	PTV
8286189	Länsi-Pohjan_sairaanhoitopiirin_kuntayhtymä	159047	MANUAL
26746257	SYNLAB_Suomi_Oy	144548	PRH
19782831	Rovakaaren_Ympäristöterveydenhuolto	142756	PTV
1440366	Uudenkaupungin_kaupunki	141796	PTV
21256902	Kallio_PPKY	135233	MANUAL
22658751	Ylä-Savon_SOTE_ky	133315	MANUAL
2159250	Hammashoitola,_Rantasalmi	130796	MANUAL
2063339	Virtain_kaupunki	126941	PTV
2044111	LOPETETTU_Yläneen_hammashoitola,_Pöytyän_ktt:n_ky	125657	MANUAL
10615121	Porvoon_kaupunki	125572	PTV
2058097	Riihimäen_seudun_terveyskeskuksen_kuntayhtymä	122425	MANUAL
9732822	Vita_Laboratoriot_Oy	118823	PRH
1387809	Rauman_kaupunki	116049	PTV
24787186	SYNLAB_Finland_Oy	112846	MANUAL
20455205	Äänekosken_kaupunki	111476	PTV
1864185	Kuusamon_kaupunki	110188	PTV
1727180	Siilinjärven_kunta	109737	PTV
10065385	Oulunkaaren_ky	100876	MANUAL
10683220	Lohjan_kaupunki	99013	PTV
2042132	Paimion-Sauvon_ktky	95989	MANUAL
1329473	Hämeenkyrön_kunta	94656	PTV
1530820	Someron_kaupunki	90926	PTV
27059651	Tullinkulman_Työterveys_Oy	90639	PRH
1444113	Sastamalan_kaupunki	87715	PTV
90146432	Nurmijärven_kunta	85773	PTV
1582217	Ylöjärven_kaupunki	82274	PTV
27285106	Finla_Työterveys_Oy	81096	PRH
1344809	Laitilan_kaupunki	79382	PTV
22206827	JIK_ky	78822	MANUAL
26618183	Työplus_Yhtiöt_Oy	72596	PRH
2037974	Ikaalisten_kaupunki	70602	PTV
2026378	Ylioppilaiden_terveydenhoitosäätiö_sr	70237	MANUAL
22054886	PoSa	68682	MANUAL
19832309	Kuusiokuntien_sosiaali-ja_terveyskuntayhtymä	67088	MANUAL
21872801	PTKY_Karviainen	65959	MANUAL
22042279	Suupohjan_peruspalveluliikelaitoskuntayhtymä	65945	MANUAL
2035338	Sipoon_kunta	64533	PTV
28412824	Keski-Uudenmaan_Työterveys_Oy	63982	PRH
19232995	Kangasalan_kaupunki	63265	PTV
1721272	Lapinlahden_kunta	60967	PTV
1338337	Kemiönsaaren_Vesi_Oy	60188	PTV
19274538	Loimaan_kaupunki	59533	PTV
10688929	Heinolan_kaupunki	57988	PTV
1860029	Kempeleen_kunta	57707	PTV
1354572	Naantalin_kaupunki	54870	PTV
2031070	Kirkkonummen_kunta	53526	PTV
1322394	Euran_kunta	52509	PTV
23065253	Työterveys_Wellamo_Oy	51980	MANUAL
2085212	Saarikka	51607	MANUAL
22654152	Äitiysneuvola_Kärsämäki,_Kärsämäki	50959	MANUAL
25193865	Länsirannikon_Työterveys_Oy	50468	PRH
23111192	Aava_ja_Pikkujätti_Oy	50361	PRH
2037384	Keski-Satakunnan_thky	49040	MANUAL
1575682	City_of_Valkeakoski	48797	PTV
1866463	Muhoksen_kunta	48663	PTV
20489034	Keski-Savon_rakennusvalvontalautakunta	46047	PTV
20712777	Ky_Kaksineuvoinen	44431	MANUAL
2149132	Sisä-Savon_thky	43110	MANUAL
1848724	Haapaveden_kaupunki	42385	PTV
8693163	Oulunkylän_kuntoutuskeskus_sr	41391	MANUAL
1507831	Lempäälän_kunta	40493	PTV
29235065	IslabVerkko_Oy	40369	PRH
1776193	Alajärven_kaupunki	38756	PTV
20508645	Akaan_kaupunki	38175	PTV
2032639	Loviisan_kaupunki	35993	PTV
1929364	Sallan_kunta	35842	PTV
2085730	Viitasaaren_kaupunki	31922	PTV
1262934	Inkoon_kunta	30348	PTV
1462485	Hollolan_kunta	29845	PTV
1859247	Kalajoen_kaupunki	29589	PTV
1475104	Janakkalan_kunta	28616	PTV
2104276	Kemin_kaupunki	28089	PTV
1520841	Pirkkalan_kunta	27011	PTV
1868522	Oulainen	26677	PTV
1935246	Tornion_kaupunki	26660	PTV
16251744	Terveystalo_Julkiset_palvelut_Oy	25963	PRH
1.2.246.537.6.4.2006	NA	25204	NA
2091137	Lapuan_kaupunki	25136	PTV
