harmonization_omop::OMOP_ID	THRESHOLD	SIDE	UNIT	QC_NOTES	MISC	conceptName
3010566	NA	NA	pmol/l	NA	NA	Parathyrin.intact [Moles/volume] in Serum or Plasma
3011391	NA	NA	pmol/l	NA	NA	Calcitriol [Moles/volume] in Serum or Plasma
3011547	NA	NA	%	NA	NA	Coagulation factor VII activity actual/normal in Platelet poor plasma by Coagulation assay
3011648	NA	NA	%	NA	NA	Oxygen content in Venous blood
3011831	NA	NA	ratio	NA	NA	Apolipoprotein B/Apolipoprotein A-I [Percentile]
3011985	NA	NA	mu/l	NA	NA	Renin [Units/volume] in Plasma
3012095	NA	NA	mmol/l	NA	NA	Magnesium [Moles/volume] in Serum or Plasma
3012110	NA	NA	mg/l	NA	NA	Lysozyme [Mass/volume] in Serum or Plasma
3012336	NA	NA	g/l	NA	NA	Haptoglobin [Mass/volume] in Serum or Plasma
3012413	NA	NA	mmol/l	NA	NA	Glucose [Moles/volume] in Serum or Plasma --2 hours post meal
3012501	NA	NA	mmol/l	NA	NA	Base excess in Blood by calculation
3012516	NA	NA	mg/l	NA	NA	Albumin [Mass/volume] in Urine
3012565	NA	NA	ml	NA	NA	Volume of 24 hour Urine
3013005	NA	NA	umol/l	NA	NA	Retinol [Moles/volume] in Serum or Plasma
3013115	NA	NA	e9/l	NA	NA	Eosinophils [#/volume] in Blood
3013166	NA	NA	%	NA	NA	Neutrophils/100 leukocytes in Synovial fluid
3013201	NA	NA	mg/l	NA	NA	Beta-2-Microglobulin [Mass/volume] in Serum or Plasma
3013247	NA	NA	mg/g	NA	NA	Albumin in CSF/Albumin in Serum or Plasma
3013290	NA	NA	kpa	NA	NA	Carbon dioxide [Partial pressure] in Blood
3013603	NA	NA	ug/l	NA	NA	Prostate specific Ag [Mass/volume] in Serum or Plasma
3013650	NA	NA	e9/l	NA	NA	Neutrophils [#/volume] in Blood by Automated count
3013721	NA	NA	u/l	NA	NA	Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma
3013727	NA	NA	%	NA	NA	Leukocytes other/100 leukocytes in Blood
3013826	NA	NA	mmol/l	NA	NA	Glucose [Moles/volume] in Serum or Plasma
3014007	NA	NA	%	NA	NA	Fractional oxyhemoglobin in Arterial blood
3014111	NA	NA	mmol/l	NA	NA	Lactate [Moles/volume] in Serum or Plasma
3014218	NA	NA	mmol/l	NA	NA	Bicarbonate [Moles/volume] standard in Arterial blood
3014326	NA	NA	nmol/l	NA	NA	Insulin-like growth factor-I [Moles/volume] in Serum or Plasma
3014702	NA	NA	nmol/l	NA	NA	Chromogranin A [Moles/volume] in Serum or Plasma
3014791	NA	NA	g/l	NA	NA	Apolipoprotein B [Mass/volume] in Serum or Plasma
3015024	NA	NA	mmol/l	NA	NA	Glucose [Moles/volume] in Serum or Plasma --1 hour post dose glucose
3015183	NA	NA	mm/h	NA	NA	Erythrocyte sedimentation rate
3015235	NA	NA	mmol/l	NA	NA	Bicarbonate [Moles/volume] in Capillary blood
3015322	NA	NA	g/l	NA	NA	Alpha 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis
