TEST_NAME	TEST_ID	COUNT	top_prevalence	has_unit_data
s-k/l-s-v	11927	4016	0.0	False
p-asat	3005281	4016	100.0	True
pt-gfreepi	622237	4011	0.0	False
pt-gfreepi	635156	3935	0.0	False
b-ghba1cp	0591	3927	100.0	True
b-erybla	7716	3907	0.0	False
p-ca-albk	8293	3905	100.0	True
cd4/cd8	10825	3896	0.0	False
p-ck	4517	3884	100.0	True
p-bil	1605005	3880	100.0	True
p-rf	8849	3828	100.0	True
fp-pth	4560	3819	79.63	True
e-retik	3002582	3806	100.0	True
p-iga	5577788	3796	0.0	False
ph	1530	3794	0.0	False
fs-kol	2095	3794	100.0	True
fs-kol-ldl	2099	3772	100.0	True
u-ph	0105	3763	0.0	False
u-leuk	3002221	3757	100.0	True
cp-glukoosi,ihopistosn,vieritestihoitoyksikössä	0589	3716	0.0	False
p-probnp	603605	3695	0.0	False
u-osmest	3000292	3639	100.0	True
p-ck	1002134	3634	100.0	True
b-neut	14272	3631	100.0	True
b-hba1c	1632264	3626	0.0	False
b-erytroblastit	19978	3614	100.0	True
eosinofiil.	Eos1224	3566	0.0	False
vb-be	8273	3561	100.0	True
u-bact	21015	3529	0.0	False
p-tsh	630117	3525	0.0	False
pt-gfreepi	4076549	3515	0.0	False
u-albkre	9522	3486	100.0	True
p-ck	3004517	3477	100.0	True
pt-gfre	1672520	3457	0.0	False
fp-urea	4573	3447	100.0	True
u-ph	0614	3445	0.0	False
ab-ph(t)	11128	3425	0.0	False
oma-p-crp	57377	3405	0.0	False
u-suhtih	0612	3401	0.0	False
u-kemseul,ph	103268_4	3399	0.0	False
p-k	1002001	3397	100.0	True
u-kemseul,ph	609625_3	3392	0.0	False
pt-fib-4	21799	3385	0.0	False
p-na	1002382	3378	100.0	True
p-afos	605265	3378	0.0	False
u-krea	6002145	3355	100.0	True
p-probnp	1604551	3326	100.0	True
p-amyl	1605003	3308	100.0	True
p-inr	605212	3296	0.0	False
oma-gluk	57048	3291	0.0	False
u-krea	1606670	3286	0.0	False
u-krea	0510	3281	100.0	True
u-epit	2630670	3275	0.0	False
ab-ph	3001527	3269	0.0	False
p-gluk-vt	10756	3258	100.0	True
pt-glomerulussuodosnopeus,estimoitu,ckd-epi-kaava	11326	3256	100.0	True
p-bil-kj	605250	3253	100.0	True
sy-leuk	3080	3253	99.73	True
p-tnt	1605039	3186	100.0	True
fp-krea	603104	3173	0.0	False
u-epit	615359	3164	100.0	True
u-lier	615358	3161	100.0	True
p-gt	1605018	3159	100.0	True
p-t4-v	622559	3156	0.0	False
b-neut	103238	3150	99.97	True
p-iga	4827	3149	100.0	True
u-leuk	615357	3136	100.0	True
oma-gluk	4601160	3124	0.0	False
u-eryt	615356	3120	100.0	True
u-ph-o	103667	3097	0.0	False
u-lier	3630671	3096	0.0	False
u-eryt	2101344	3083	0.0	False
p-ck	1605010	3082	100.0	True
cb-ph	1001528	3067	0.0	False
p-tnt	603603	3065	0.0	False
u-leuk	2102221	3059	0.0	False
p-ck-mbm	1004236	3054	100.0	True
li-leuk	2219	3052	100.0	True
b-ly	1103223	3048	100.0	True
li-eryt	1342	3048	100.0	True
u-kemseul,omin.p	103268_2	3045	0.0	False
p-ph	8522	3036	0.0	False
fs-trigly	2770	3024	100.0	True
p-amylp	605246	3021	100.0	True
vb-be	10085	3014	100.0	True
b-neut	5597073	3007	0.0	False
fs-kol-hdl	2097	3005	100.0	True
fp-pth	1002457	2996	100.0	True
p-psa-suh	631061	2982	100.0	True
fb-leuk	2218	2978	100.0	True
s-k/l-s-v	50207	2977	0.0	False
u-epit	607576	2974	0.0	False
p-t4-v	630118	2973	0.0	False
u-eryt	607597	2964	0.0	False
b-ph	1531	2963	0.0	False
p-alb	1605002	2961	100.0	True
s-testo	2735	2947	99.97	True
p-inr-pika	606328	2945	0.0	False
b-hba1c	623599	2943	0.0	False
u-lier	607577	2943	0.0	False
u-eryt	11344	2934	100.0	True
crp(päiv.hoitaja)	akiea0002	2927	100.0	True
p-uraat	1605043	2924	100.0	True
pt-gfre	10055629	2920	100.0	True
fs-ca-ion	1000597	2886	0.0	False
fs-ca++/7.40	1000596	2879	0.0	False
p-crp-vt	10759	2870	100.0	True
b-hkr	4001358	2868	100.0	True
u-suhtih	2715	2861	0.0	False
cb-pco2	1001622	2859	100.0	True
u-epit	980	2847	100.0	True
cb-be	1000151	2836	100.0	True
p-inr-pi	606328	2836	0.0	False
s-li	3002260	2834	100.0	True
e-retik	1002582	2828	100.0	True
b-eryt	4001341	2825	100.0	True
e-mcv	4001357	2825	100.0	True
b-hb	4001552	2825	100.0	True
b-leuk	4002218	2825	100.0	True
e-rdw	615255	2825	100.0	True
e-mch	4001558	2825	100.0	True
e-mchc	4001557	2824	100.0	True
b-trom	4002791	2821	100.0	True
u-lier	981	2816	100.0	True
cb-hco3-st	1000154	2814	100.0	True
cb-crp	101217	2782	0.0	False
s-tshrab	4965	2775	84.77	True
f-calpro	613422	2753	0.0	False
p-mg	605264	2747	100.0	True
fs-folaat	1001416	2731	100.0	True
u-suhti-o	715	2722	0.0	False
b-hba1c	606591	2696	100.0	True
fp-gluk	603107	2696	100.0	True
p-ck-mbm	1605011	2673	100.0	True
erytroblastit	8518	2654	100.0	True
p-krea	1605262	2652	100.0	True
pt-kt/v1	15024	2648	0.0	False
fp-krea	2142	2634	100.0	True
s-ph	1606713	2634	0.0	False
p-t3-v	1002775	2622	0.0	False
p-ck	605261	2609	100.0	True
s-apob/a1	02249	2604	0.0	False
u-albkre	604448	2599	100.0	True
b-baso	103157	2598	100.0	True
p-uraat	1605306	2597	0.0	False
p-cmvnh	4777	2592	82.64	True
pt-gfre	10066523	2588	100.0	True
fp-kol-ind	633151	2587	0.0	False
s-klotsa	609927	2569	100.0	True
s-ph	2606713	2552	0.0	False
b-monos	103230	2542	100.0	True
s-norklot	609913	2537	100.0	True
l-neut(a)	1629125	2534	0.0	False
l-lymf(a)	1629126	2531	0.0	False
l-eos(a)	1629128	2529	0.0	False
l-mono(a)	1629127	2529	0.0	False
l-baso(a)	1629129	2527	0.0	False
u-veri-o	2947	2498	0.0	False
u-krea	2606670	2492	0.0	False
lieriöt	40527	2485	100.0	True
fp-kol-ind	6518	2479	0.0	False
pt-gfre	2928608	2478	0.0	False
s-ph	7368425	2475	0.0	False
ab-emäsylimäärä	10083	2472	100.0	True
b-la	102203	2468	100.0	True
p-k	4001999	2440	100.0	True
u-ph-hy	0368	2439	0.0	False
seeruminhappamuusaste	8523	2429	0.0	False
fp-ca	4514	2426	100.0	True
